8,34.102,7,heart_step_8_140.pcd,39.123299,heart_step_7_20.pcd,68.832497,1221
1,14.739,3,heart_step_1_20.pcd,52.353600,heart_step_1_120.pcd,58.831600,232
2,16.154,3,heart_step_2_160.pcd,45.989201,heart_step_2_0.pcd,46.603298,515
3,20.133,4,heart_step_3_180.pcd,26.093399,heart_step_3_160.pcd,34.096901,701
4,20.442,4,heart_step_4_340.pcd,31.782000,heart_step_3_180.pcd,40.141602,883
5,39.079,6,heart_step_5_140.pcd,23.563200,heart_step_5_0.pcd,25.517799,1009
6,21.768,4,heart_step_6_160.pcd,20.256100,heart_step_6_0.pcd,31.692101,1172
7,48.388,9,heart_step_7_20.pcd,36.693901,heart_step_7_0.pcd,41.100300,1362
8,5.229,1,heart_step_8_140.pcd,21.069901,heart_step_7_20.pcd,42.832901,1371
8,82.622,12,heart_step_8_140.pcd,41.379002,heart_step_7_20.pcd,47.714298,1380
9,5.079,1,heart_step_9_340.pcd,12.894600,heart_step_9_200.pcd,14.549200,1385
